name,address
Chaudhary Park Road,"Chaudhary Park Road, Pune, Maharashtra, India"
Ganga Ashiyana Road,"Ganga Ashiyana Road, Pune, Maharashtra, India"
sector 12,"sector 12, Pune, Maharashtra, India"
Dyanesh Park Lane 3,"Dyanesh Park Lane 3, Pune, Maharashtra, India"
Katraj Sinhagad Trek,"Katraj Sinhagad Trek, Pune, Maharashtra, India"
Andharban Trail,"Andharban Trail, Pune, Maharashtra, India"
Shubhamkaroti Road,"Shubhamkaroti Road, Pune, Maharashtra, India"
Torna,"Torna, Pune, Maharashtra, India"
Kothaligad,"Kothaligad, Pune, Maharashtra, India"
Dhak Bahiri,"Dhak Bahiri, Pune, Maharashtra, India"
Richmond Road,"Richmond Road, Pune, Maharashtra, India"
MG Road,"MG Road, Pune, Maharashtra, India"
Bhugaon Bypass road,"Bhugaon Bypass road, Pune, Maharashtra, India"
Shidi ghat,"Shidi ghat, Pune, Maharashtra, India"
Jivdhan route,"Jivdhan route, Pune, Maharashtra, India"
Jambhavali to Wadeshwar trail,"Jambhavali to Wadeshwar trail, Pune, Maharashtra, India"
Khetoba,"Khetoba, Pune, Maharashtra, India"
Chavand fort trail,"Chavand fort trail, Pune, Maharashtra, India"
Cinderella Society,"Cinderella Society, Pune, Maharashtra, India"
Saswad - Jeujuri Road,"Saswad - Jeujuri Road, Pune, Maharashtra, India"
Katraj PMPML Bus Stand,"Katraj PMPML Bus Stand, Pune, Maharashtra, India"
Taljai Forest Walking Path,"Taljai Forest Walking Path, Pune, Maharashtra, India"
Sarola Service Road,"Sarola Service Road, Pune, Maharashtra, India"
Pune - Bangalore Highway,"Pune - Bangalore Highway, Pune, Maharashtra, India"
Bhakti Shakti Chauk,"Bhakti Shakti Chauk, Pune, Maharashtra, India"
Dhamane Road,"Dhamane Road, Pune, Maharashtra, India"
Deccan Winds Resort,"Deccan Winds Resort, Pune, Maharashtra, India"
Manapa Bhavan PMPML Bus Stop Road,"Manapa Bhavan PMPML Bus Stop Road, Pune, Maharashtra, India"
Gaikwad Nagar Road,"Gaikwad Nagar Road, Pune, Maharashtra, India"
